S.l. 1 37.3989094 -122.0711831
s.l. 71 37.3989094 -122.0711831
"s. l." 1 37.3989094 -122.0711831
"Santander, Espagne" 1 43.46230569999999 -3.8099803
"Strasbourg, France" 1 48.5734053 7.752111299999999
"Stuttgart, Germany" 1 48.7758459 9.1829321
"Trézélan, France" 1 48.64912899999999 -3.257855
"Wiesbaden, Germany" 1 50.0782184 8.239760799999999
"[Fort Collins, CO]" 1 40.5852602 -105.084423
"Arnhem, Netherlands" 1 51.9851034 5.898729599999999
"Baie-Saint-Paul, Qc" 2 47.4424059 -70.50408399999999
"Bruxelles, Belgique" 14 50.8503396 4.3517103
"Charleroi, Belgique" 2 50.4108095 4.444643
"Côte Saint Luc, Qc" 1 45.4680498 -73.6729464
"Edinburgh, Scotland" 7 55.953252 -3.188267
"Linkebeek, Belgique" 3 50.7660264 4.3456087
"Ljubljana, Slovenia" 2 46.0569465 14.5057515
"Londres, Angleterre" 1 51.5073509 -0.1277583
"Montpellier, France" 1 43.610769 3.876716
"North Vancouver, BC" 9 49.3199816 -123.0724139
"Rotterdam, Pays-Bas" 1 51.9244201 4.4777325
"Saint-Hippolyte, Qc" 1 45.9309787 -74.0247596
"Saint-Hyacinthe, Qc" 17 45.6306875 -72.9563391
"Trois-Rivières, Qc" 11 46.3546803 -72.5837866
"[Mannheim, Germany]" 1 49.4874592 8.466039499999999
"Brandenburg, Germany" 1 52.1313922 13.2162494
"Esslingen, Allemagne" 1 48.7433425 9.320112199999999
"Götttingen, Germany" 2 51.54128040000001 9.915803499999999
"Lucerne, Switzerland" 1 47.05016819999999 8.3093072
"Montbéliard, France" 2 47.510356 6.798466
"Prince Albert, Sask." 1 53.2033494 -105.7530705
"Rivière-du-Loup, Qc" 2 47.835957 -69.5359854
"Rocherster, New York" 1 43.16103 -77.6109219
"Saint Boniface, Man." 1 49.862588 -97.06008299999999
"St. Catharines, Ont." 2 43.1593745 -79.2468626
"Stuttgart, Allemagne" 1 48.7758459 9.1829321
"Villeurbanne, France" 1 45.771944 4.8901709
"Amsterdam Netherlands" 2 52.3702157 4.895167900000001
"Jouy-en-Josas, France" 1 48.76454500000001 2.169007
"Rotterdam Netherlands" 1 51.9244201 4.4777325
"Saint-Gaudens, France" 1 43.106895 0.7237629999999999
"Amsterdam, Netherlands" 2 52.3702157 4.895167900000001
"Annadale-on-Hudson, NY" 1 42.0218762 -73.9095279
"Baden-Baden, Allemagne" 1 48.76564 8.228524199999999
"Bozen/Bolzano, Germany" 1 46.7340955 11.2888015
"Canterbury, Angleterre" 1 51.280233 1.0789089
"Châtellerault, France" 1 46.816487 0.548146
"Düsseldorf, Allemagne" 1 51.2277411 6.7734556
"Eindhoven, Netherlands" 3 51.44164199999999 5.4697225
"Mont-Saint-Hilaire, Qc" 1 45.5640416 -73.1790126
"Repulse Bay, Hong Kong" 2 22.2345043 114.1952039
"Rotterdam, Netherlands" 2 51.9244201 4.4777325
"Saint-Étienne, France" 2 45.439695 4.3871779
"Seydisfjordur, Iceland" 1 65.2598494 -14.0101156
"The Hague, Netherlands" 1 52.0704978 4.3006999
"Waldkrainburg, Germany" 1 48.2086516 12.4016363
"Amersfoort, Netherlands" 1 52.1561113 5.387826599999999
"Braunschweig, Allemagne" 1 52.2688736 10.5267696
"Buenos Aires, Argentine" 1 -34.6036844 -58.3815591
"Feldmeilen, Switzerland" 1 47.277833 8.616667
"Reuil-Malmaison, France" 1 48.882767 2.17693
"Ostfildern-Ruit, Germany" 1 48.7290268 9.2520017
"Rochester, New York (NY)" 1 43.16103 -77.6109219
"Saint-Jean-Port-Joli, Qc" 3 47.2153806 -70.2694167
"Trois-Rivières, Québec" 1 46.3546803 -72.5837866
"Ville de Mulhouse, France" 1 47.750839 7.335888
"Münchenstein, Switzerland" 1 47.5226485 7.6150661
"Saint Jean sur Richelieu Qc" 1 45.305771 -73.2544903
"Frankfurt Am Main, Allemagne" 1 50.1109221 8.6821267
"Frankfurt am Main, Allemagne" 1 50.1109221 8.6821267
"Gran Canaria, Canary Islands" 1 27.9202202 -15.5474373
"Newcastle upon Tyne, England" 1 54.978252 -1.61778
"Hérouville Saint-Clair, France" 3 49.20358 -0.333655
"Santa Cruz de Tenerife, Espagne" 1 28.4636296 -16.2518467
"Vassivière en Limousin, France" 1 45.797222 1.879167
